01_d11_WT_rep1	02_d13_WT_rep1	03_d11_KO_Lhx8_rep1	04_d13_KO_Hes6_rep1	05_d13_KO_Tbpl2_rep1	06_d13_KO_Thap7_rep1	07_d13_KO_Ybx3_rep1	08_d13_KO_Ell3_rep1	09_d13_KO_Foxr1_rep1	10_d13_KO_Mef2b_rep1	11_d13_KO_Ccnk_rep1	12_d13_KO_Sfr1_rep1	13_d11_KO_Sub1_rep1	14_d13_KO_Tcf25_rep1	15_d13_KO_Kdm1b_rep1	16_d13_KO_Nobox_rep1	17_d11_KO_Stat3_rep1	18_d13_KO_Noto_rep1	21_d13_KO_Dynll1_rep1	25_d11_WT_rep2	26_d13_WT_rep2	27_d11_KO_Lhx8_rep2	28_d13_KO_Hes6_rep2	29_d13_KO_Tbpl2_rep2	30_d13_KO_Thap7_rep2	31_d13_KO_Ybx3_rep2	32_d13_KO_Ell3_rep2	33_d13_KO_Foxr1_rep2	34_d13_KO_Mef2b_rep2	35_d13_KO_Ccnk_rep2	36_d13_KO_Sfr1_rep2	37_d11_KO_Sub1_rep2	38_d13_KO_Tcf25_rep2	39_d13_KO_Kdm1b_rep2	40_d13_KO_Nobox_rep2	41_d11_KO_Stat3_rep2	42_d13_KO_Noto_rep2	45_d13_KO_Dynll1_rep2
Lx9	192.763410809075	143.68601282333	212.79861175697	164.923085488352	161.19637298145	143.437573499835	676.154830122339	276.57036936481	316.154859125132	320.802196687948	199.693008554031	414.344922820316	385.910421027219	295.493297959605	363.492718498372	596.872148998043	341.924059428081	376.393580726807	392.970937076224	212.904915239222	490.508454726138	396.439341181168	533.26724844831	345.429352905505	440.42316222094	247.143011707045	295.166707254865	455.658225144216	270.060772420808	344.802642683191	346.314481986727	327.343389052869	306.470285994811	551.668539568515	268.381661182658	441.235764210561	447.195441255037	353.797105897897
MTD	309.401724418312	266.247774977162	240.092454379553	319.931574717826	249.609767477035	289.917079642127	1208.87599222998	703.095716707663	529.282104183467	550.324193935187	408.222539336415	534.409837168426	634.266594199492	473.385761804709	639.941403292347	1161.05600138934	729.612275688391	592.331636337624	590.512524336939	437.95736294269	581.196057153926	622.870499858506	904.632213099569	604.912786745521	961.583102533139	648.197623370325	532.298570480462	745.55924136883	496.370573614637	448.301151777553	646.706605579348	543.109439965812	568.400399896462	988.279810706405	728.696742322049	635.908801235286	776.30573510993	591.424095524126
MERVL_2A-int	70.7194678871131	55.5690786893921	111.091557584202	51.0707184708314	90.147409969104	54.8588823757324	367.185619547427	84.0104878278138	98.1993390499621	84.369895308912	106.427434852525	103.391328753131	237.213374283453	91.7312210313492	118.287786043266	348.380158034151	264.749100529686	125.270216701297	175.468874558148	121.49011552291	115.914476709713	325.449417582068	140.699543382078	194.074714144119	211.711167036398	147.499895295571	95.4760734694991	123.142236107918	107.619654751146	116.818774045746	124.074035096834	199.326516800925	98.8910607370573	193.804055595412	131.201564323684	308.2682711033	143.521747470041	208.289539849354
Lx2A	2.95874655187677	3.56346112735359	5.58745825152218	3.93634101595769	3.27846311866772	2.83393052023023	16.4112760644622	11.0537311191161	7.03429306448925	4.75766445541784	5.48709943504004	8.92995559841491	18.7572613563438	3.37738226448959	8.11803013607619	13.849978643997	14.6036238806077	8.4411516773871	8.54486004182011	8.79828012859869	9.22928371903217	13.7771935558519	6.2743001064158	10.7157997796206	10.3400525492854	5.74332243525876	8.54536342649065	8.66320990389518	7.78915839341891	6.41061058321964	8.8865880511772	9.5668945316295	7.76378882104741	11.0040926212579	10.5919564509546	12.5314628297012	7.21934158657931	11.0372689785288
L1Md_A	110.135217256897	133.243650063873	301.19516011269	101.404637456462	179.269870813148	115.535618529531	789.654366848279	211.804514339234	213.22733946372	183.959411303991	206.695440877511	251.976327477804	689.243824079934	166.411167831165	201.817025957033	310.975219449138	307.256832642425	265.568252067074	280.377815888255	225.507505437534	308.60101757899	563.138415623733	314.449179159807	417.088520311202	308.178394974201	316.189383125507	209.001429564949	221.780825122691	229.066544678619	249.67307037106	215.229594645522	562.148405023276	195.460098228111	338.890693925397	191.99257544727	405.777905494166	267.369962072859	425.932258128371
L1Md_F2	522.248302239605	537.556685296946	776.437542644337	515.229731097073	723.805729417633	494.3443773683	2088.9741927219	1087.29234009327	910.444643436069	839.525934593429	751.127747831669	1117.02339461943	1557.70488691105	1905.58228993113	1123.43969891251	1501.71913352845	1244.32188575134	1185.98357659314	962.659009219885	1004.26605895417	1403.26999542233	1582.2447333462	1781.11292589506	1451.32389272002	1472.06640116714	1093.38684343874	1001.54140213025	1077.11445270906	945.795361006864	976.699388975329	1003.10970967863	1416.16656686826	1948.89248686611	1759.84757185982	883.840248682091	1310.73174987957	1251.42043892965	1266.31444864298
RLTR10	642.295862163794	1807.78162853408	763.468884830754	2820.60703231701	532.184422315051	2827.00079409122	1857.5523031578	5958.74386051128	4909.23650870367	3389.9313935302	1940.12107021366	7110.20759364202	319.021672417046	4044.95898360892	5839.51678130866	880.080092353839	94.9173663951953	3344.80695659853	101.388025825187	1169.40783778971	7992.03070676305	810.656114134059	11226.0566603174	1483.02451746852	3234.67163594502	2423.68433239602	4564.30188519865	5130.84077515624	4110.44167154281	4361.79558070413	3823.16487280233	351.195684109113	5099.84596166139	3360.9158431049	1272.31371414334	77.8120195992699	3304.45410503462	132.68625829896
L2	122.141479246352	134.673975079118	288.982112480979	169.577124632507	143.605341924804	180.086606197871	293.405924094158	234.231653803211	278.638856291452	200.61812991692	223.583819071726	552.493670399989	371.40136894618	253.08690886485	342.603787400827	280.831752586479	276.709934903537	289.947957545866	209.521153383689	296.637686305181	626.285824098121	360.075882118094	443.097352840749	371.690177992801	229.658997229405	231.176022733494	261.733199800879	253.861211267346	276.708614598723	511.863398461969	348.106131069249	279.507921698352	342.949642223562	220.92407071075	253.21664028555	369.401643282007	261.288733653949	320.348917605566
Charlie15b	1.116456978304	1.6387815009401	2.4554901975933	1.65452753805512	1.94133783953797	2.08281169581439	4.73980106037201	4.38447193228227	4.80368144032573	3.55708386110808	4.86261396180586	10.480750843386	2.93863846311283	2.91200675930695	3.42862848387907	1.54116230797372	1.56196812587556	6.03620496777773	1.73959575689227	1.69251204195453	9.88185079519253	3.65477724824116	8.27764884358549	4.90261829937848	4.76887959448472	2.32925071402496	3.88718958657937	3.29744270336296	3.59994624796677	9.28295074699905	2.46944408664943	2.23793112057849	3.5568015113138	4.50717278747032	0.411044243651463	3.22352307179753	4.88125376560817	2.5522006981854
RLTR13D6	2.30340296699499	13.5497302998508	10.3400525492854	17.2011063890162	10.3951219730786	7.50338125555948	25.9848846808793	28.7604435893083	25.2283674204561	8.86032920433043	10.7453198892063	39.2732271137996	17.4897155566171	16.934409229326	27.9068974773017	27.4039621209758	10.1771561009868	20.1886580894194	5.31337126128906	18.8928701348682	67.3526358714921	14.0264055454058	48.7710985804588	6.43823249688385	25.8272094097574	10.2021001110383	27.8824155297003	10.711530361854	27.1880209284588	25.7552685057889	32.5262531886262	7.37298124907577	23.6463024425991	30.4628623807395	16.0389984630748	16.4014208998237	15.318336295844	16.0294195050523
