Geneid	ESC	PGCLCd6	IVD.D3	IVD.D5	IVD.D7	IVD.D9	IVD.D11	IVD.D13	IVD.D15	IVD.D17	IVD.D20	DIOL.D5	DIOL.S.D1	DIOL.S.D3	DIOL.S.D5	DIOL.S.D7
Abi2	20.9333333333333	34.885	44.6766666666667	54.83	69.73	58.1466666666667	64.6033333333333	21.0633333333333	25.1866666666667	18.855	31.0133333333333	35.875	27.735	29.605	37.1	38.81
Abi3	1.16666666666667	0.385	0.0733333333333333	0.106666666666667	0.106666666666667	0.236666666666667	0.426666666666667	0.04	0	0	0	0.13	1.405	0.115	0.245	0.295
Abi3bp	0.04	0.105	0.38	0.38	0.533333333333333	6.08333333333333	26.4466666666667	49.9666666666667	35.9966666666667	28.855	23.1733333333333	86.46	5.17	24.26	38.035	46.79
Abl1	51.98	52.07	91.1666666666667	82.2766666666667	100.853333333333	82.4766666666667	59.3466666666667	9.99333333333333	13.5666666666667	18.04	27.49	25.735	37.825	41.51	40.68	28.04
Abl2	26.6266666666667	58.9	106.103333333333	65.5066666666667	62.27	69.08	60.4966666666667	20.7733333333333	21.81	23.985	51.6366666666667	18.985	26.83	24.34	29.5	33.02
Ablim1	20.27	3.8	12.44	4.16666666666667	8.85666666666667	48.5933333333333	97.8033333333333	99.8466666666667	99.28	83.47	86.26	264.145	65.24	177.79	199.04	172.485
Ablim2	6.07333333333333	7.785	8.38	10.1933333333333	5.47666666666667	5.95333333333333	14.1133333333333	43.5466666666667	47.1833333333333	56.44	64.8333333333333	17.02	3.07	7.84	9.95	9.875
Ablim3	0.04	0.12	0.406666666666667	0.236666666666667	0.526666666666667	1.39333333333333	2.6	5.16666666666667	6.39333333333333	8.255	11.3033333333333	22.56	1.965	4.9	10.95	15.355
Abo	0.273333333333333	0.365	1.07333333333333	1.73333333333333	2.23	3.10666666666667	2.30666666666667	0.413333333333333	0.223333333333333	0.27	0.176666666666667	0.685	0.525	0	0.5	1.105
Abr	43.25	21.525	18.9433333333333	40.45	49.8433333333333	38.2666666666667	52.28	93.4033333333333	108.53	128.555	137.003333333333	73.685	29.395	46.515	60.225	73.735
Abra	0.04	3.11	0.196666666666667	0	0.213333333333333	0.1	0	0	0	0	0	0	0.055	0	0.455	0.05
Abracl	27.4566666666667	34.49	23.6833333333333	22.8466666666667	10.75	39.2966666666667	43.57	13.7033333333333	5.83333333333333	4.53	4.47666666666667	184	93.64	214.655	110.625	85.68
Abt1	23.1066666666667	25.425	22.9966666666667	22.65	25.8066666666667	21.3833333333333	19.05	17.1	20.99	23.625	28.16	16.27	16.755	17.375	17.465	15.17
Abtb1	98.49	97.015	64.16	46.9	37.93	45.96	53.6433333333333	69.2966666666667	62.9233333333333	56.495	57.8333333333333	76.91	69.72	65.81	78.045	53.78
Abtb2	3.35333333333333	0.275	4.74333333333333	17.8266666666667	32.1566666666667	29.44	29.8633333333333	24.0566666666667	30.1966666666667	43.615	51.2066666666667	23.78	17.545	34.91	34.75	22.4
