,ESCs,PGCLC_d6,IVD_D3,IVD_D5,IVD_D7,IVD_D9,IVD_D10,IVD_D11,PGC_E14.5,PGC_E16.5,PGC_E18.5,P1_oocyte_small,P3_oocyte_small,P4_oocyte_small,P6_oocyte_small,IVD_D13,IVD_D15,IVD_D17,IVD_D20,IVD_D23,2nd.fol_vivo,Incomp.GV_vivo,Comp.GV_vivo,MII_vivo,MII_vitro,2-cell,moduleColors
Rbm38,66.05866524,80.69470458,86.29368223,47.42904501,47.87846252,58.24271024,58.32638301,57.1349436,42.63222902,93.53489379,76.24575278,48.7267389,56.11156607,67.4265672,61.66625936,193.3833844,339.1514853,437.4960963,438.1979551,632.0802612,589.4917478,643.9916215,752.6185543,1651.247465,1573.264537,548.3267667,green
Rab22a,17.02020415,28.17094524,39.74899017,57.84501145,86.85346382,58.62025704,63.78067524,63.21544956,85.88160306,111.8527505,97.4236349,94.26672248,88.55942125,89.68912245,85.69259846,98.0516994,95.44672975,82.43364176,75.77339293,81.75528818,79.0719505,68.87151262,69.45363311,7.242118647,26.13749949,43.29392265,steelblue
Stx16,24.83297229,43.95222576,46.33819967,70.10958833,100.8100164,59.5431316,46.20379912,53.34628281,60.34995585,101.5055324,68.89907,64.63702213,73.27711162,73.47654144,77.43436649,32.29025997,25.9581892,22.27428412,22.90280489,21.71463609,22.44987286,11.7306356,3.516388239,1.122878487,6.410618657,3.516019042,red
Npepl1,31.78333571,38.69716689,67.44407343,56.13691693,40.89158736,33.73780813,27.96471289,25.5277464,65.83271137,54.99835674,31.48012258,10.6896929,19.47243625,22.64868328,25.16908636,8.24551767,4.830943626,2.895807169,2.658601749,4.591084504,0.770873601,0.618783418,1.080821764,0.251236265,1.682998714,4.423896682,brown
Gnas,25.35625703,8.857527276,19.02183775,25.35725235,17.44066349,35.81175655,49.09968731,51.09128502,31.69618976,46.11691683,40.25359152,38.07949505,77.58648434,90.84118243,118.8192968,201.6369563,218.6259351,202.8441574,165.1217946,148.4700887,144.6033587,97.28442381,48.86790385,2.54726041,29.63531773,8.543310924,purple
Nelfcd,48.0556858,64.26945466,66.24527029,69.16725256,78.24859267,60.32761942,51.90524243,60.8732921,79.95294188,75.42611748,76.37479586,102.1203438,95.85775594,91.88473139,83.80143853,96.5849718,77.40803099,70.72392291,54.98137293,52.11101432,51.51142168,35.43420138,22.88881842,7.326299241,9.193028818,47.30363451,greenyellow
Ctsz,17.41437388,114.6482969,31.91806518,17.26807283,8.395918113,28.32608052,37.67099699,55.83693185,12.55701764,10.65501603,7.230971394,8.157098804,10.43757354,12.24558794,11.96996679,3.979944109,0.971583661,0.479229575,0.724639689,0.685991789,0.278169202,0.230356832,0.653726329,0.1495978,1.919003854,72.27326197,lightcyan
Atp5e,357.0745075,549.934303,593.0385346,507.8392975,535.5775085,478.9279318,535.1151038,577.6718939,650.9267406,624.5806043,681.163909,879.7396428,831.9791075,876.2361342,829.4717751,1041.597168,799.7321052,665.425082,458.6762318,400.9575667,377.8502433,396.982133,365.2722311,2.935979312,36.44203599,34.41963716,greenyellow
Slmo2,48.76535925,81.58176737,58.18469338,61.43179505,80.76000722,64.34778186,69.48279361,71.46579681,87.78419616,48.88857491,44.93527328,47.05920657,52.7291721,58.11110897,56.86972797,43.7887739,36.51222321,29.38714338,28.98984923,25.06378913,27.3150604,25.58196114,25.53283221,23.7412773,34.4987579,37.18091426,lightyellow
Sycp2,0.059761688,0.751698075,5.15241071,60.80939612,136.5442761,64.62876438,41.27190614,48.26832711,108.5046237,124.2164737,48.51014246,9.541240083,9.052389507,8.730193824,8.371236734,16.34047839,19.11751485,22.30206552,25.54708339,15.95594478,21.28116849,18.49382626,10.50935146,29.46069595,27.28505046,7.706568233,red
Ppp1r3d,0.045653979,0.098916024,1.461609846,3.753743929,2.764815735,1.196331338,0.530759016,1.550209631,2.3774069,6.270520029,1.140115757,0.664806028,1.158897643,1.407458735,1.490483427,1.970223085,4.506539368,6.090977035,12.67715635,16.91715649,15.89273518,15.36923742,24.88854411,117.22603,86.58557261,11.0933227,yellow
Taf4a,16.38114216,13.88084627,16.13091207,13.86898928,12.65193761,14.48092043,13.256442,11.02648414,13.04931952,17.45722999,15.32528563,13.64276535,10.3779833,9.124961664,8.61815585,4.585300468,5.257577564,4.911487715,8.439882728,8.33541909,8.402324164,10.96674149,19.92744679,155.3322891,135.3040283,36.25999323,yellow
Lsm14b,39.17233353,77.76733409,75.37564883,111.2356357,138.1156192,148.1973912,194.4755134,254.3252391,117.4189808,160.6192301,425.9791837,525.4028146,506.9112704,498.3808796,479.50353,652.6178279,871.6579836,859.4051622,827.6756463,651.8334478,702.9390859,540.9826047,616.7600018,757.083044,872.7531597,109.2231648,darkturquoise
Psma7,173.9444347,236.8961212,144.5763229,76.40490032,61.60055774,89.70431877,97.24218128,104.8531511,60.61001483,44.12210386,99.26121915,123.9487258,133.5818921,141.1273998,153.3835709,211.4621817,203.050158,203.9748646,176.891275,149.6215863,125.8949907,154.712669,138.99754,3.431974892,16.08592612,26.12261034,white
Adrm1,23.43294595,18.43097961,24.4498956,12.90568172,11.05248461,15.82221496,17.48120453,16.45067264,12.23237187,14.46863864,22.98411005,24.54049282,27.72311313,29.53887162,30.75888892,21.96653756,19.04428358,19.86193903,18.15760079,21.76868152,19.17338469,21.18674396,20.52868647,0.633590063,2.546495532,79.58607031,turquoise
Lama5,53.87755986,1.121398951,1.76671469,1.432938976,0.64146077,2.637466687,2.664312716,1.81339214,1.2382439,0.63122303,0.433075494,0.957378422,0.426504977,0.47001495,0.525170131,6.907762729,12.80969691,17.33948872,16.42574613,20.66161645,22.15963817,15.31011035,13.55146204,0.431516569,7.182112353,0.984888121,salmon
Rps21,686.5751137,580.055848,626.9444376,511.1778623,529.5518356,374.6943038,331.4479848,352.7499545,364.3237997,468.7620693,301.1446543,319.1055583,396.9347477,391.3211309,341.3320438,290.9177264,181.6724647,128.9557715,86.58478354,76.6255698,77.79771804,74.68977189,74.24611399,4.534149234,13.34199411,200.3219466,brown
Mrgbp,13.98737828,21.01562161,23.76798429,40.11766399,51.62903664,28.02799872,25.52454765,29.1948275,46.65959086,43.06741128,30.7290464,28.79203707,29.39620971,28.88268104,26.19593284,31.5965283,30.68282381,34.72007209,36.0520463,39.83284267,39.84313402,40.39147877,43.58255543,0.819737729,2.919526178,1.724084819,black
Col9a3,1.107863234,0.272930896,0.885211484,2.632110626,1.087564335,3.049429345,4.266280054,22.41273261,4.317658231,0.827664366,6.410967421,28.83758932,29.5697284,26.11741358,20.55243705,82.5592538,49.49745013,49.414809,46.6847364,38.12810736,42.00681158,31.5795142,12.95226675,10.24553786,9.092831487,0.587230146,white
Tcfl5,2.77755537,0.636646742,16.20472906,41.09771821,35.32597502,27.3380427,26.07040759,28.58645855,56.9293285,54.00883214,50.60563594,36.85563857,28.92487095,27.06245132,21.78676584,17.15175567,8.927770244,7.33092643,5.606826018,4.237579657,4.866906751,2.951894531,1.801511387,2.050118852,3.638634932,14.94803502,red
Ythdf1,55.4413571,78.56523621,80.33511608,92.31065195,97.59766266,82.52748491,77.98909201,78.95114082,89.37311644,82.83152103,80.11406438,75.31432103,68.97804336,64.88548711,60.45562895,44.4511153,48.79757942,49.79893373,62.43710758,49.78934403,71.65948894,45.1832307,18.71204843,3.941912419,9.722720071,73.03806413,red
Ppdpf,23.26835926,58.10373122,58.38738964,28.03475341,16.2060715,21.02799466,23.89472117,23.25948876,25.67751086,10.16477768,16.42926053,22.80574585,26.03269798,27.26341256,29.01010559,46.64192878,30.27141192,27.66619944,18.72829044,19.11107717,15.86067232,10.07950461,6.038583789,0.153184684,5.932765988,11.90927897,midnightblue
Stmn3,10.89869747,0.662364027,0.417754642,0.197875418,0.537588526,0.173377803,0.184939189,0.341234414,0.035827518,0.210669467,0.082915084,0.018221414,0.044779762,0.075278362,0.100601479,0.722766671,0.100939232,0.103830196,0.133048664,0.159517051,0.018151798,0.100963054,0.104275695,0,0.157250488,76.37420908,turquoise
Arfrp1,13.61563817,13.35318185,14.01726752,28.83144682,54.5302396,30.83815735,26.04614017,25.15323781,39.85589493,29.73554013,17.59548257,16.771889,17.21899288,18.28883044,17.98841468,14.22891197,13.16499224,10.00325866,10.39673197,8.684869986,9.628070291,7.059024826,4.025811983,0.152887598,0.350761763,38.40368235,black
Tpd52l2,34.08055775,24.84455671,29.65433672,33.52328564,30.42733861,29.4621184,28.52940549,29.79433019,33.02605074,37.25253389,40.51430793,37.59319378,39.11862073,37.8129472,37.64908817,36.1174535,39.72741685,45.11577865,48.49174237,55.69746142,49.42778729,52.58173092,57.75091973,90.74988985,86.74326376,56.96903776,green
Znf512b,11.01516676,2.562340796,10.32133645,27.92139301,50.45269522,43.6320722,39.68734315,41.43018658,19.4399695,67.56749349,42.04440683,33.74958912,35.63399106,32.74124427,34.35359811,34.89720253,28.59257113,27.47799401,28.71564987,28.82820678,28.48828555,14.70862723,9.3490408,17.29082246,23.34956472,5.288142958,steelblue
Prpf6,39.3524894,33.12782466,35.44520404,45.92454211,33.21452214,36.94287161,32.79408204,30.39253448,41.02470023,48.7470768,40.34501134,40.72482824,41.3116483,42.44111422,40.71067762,41.48777814,49.73548722,60.29780945,70.13343219,70.54775555,55.23343281,59.09425188,69.5030977,107.3365522,77.40632792,27.20782936,green
