01_d11_WT_rep1	02_d13_WT_rep1	03_d11_KO_Lhx8_rep1	04_d13_KO_Hes6_rep1	05_d13_KO_Tbpl2_rep1	06_d13_KO_Thap7_rep1	07_d13_KO_Ybx3_rep1	08_d13_KO_Ell3_rep1	09_d13_KO_Foxr1_rep1	10_d13_KO_Mef2b_rep1	11_d13_KO_Ccnk_rep1	12_d13_KO_Sfr1_rep1	13_d11_KO_Sub1_rep1	14_d13_KO_Tcf25_rep1	15_d13_KO_Kdm1b_rep1	16_d13_KO_Nobox_rep1	17_d11_KO_Stat3_rep1	18_d13_KO_Noto_rep1	21_d13_KO_Dynll1_rep1	25_d11_WT_rep2	26_d13_WT_rep2	27_d11_KO_Lhx8_rep2	28_d13_KO_Hes6_rep2	29_d13_KO_Tbpl2_rep2	30_d13_KO_Thap7_rep2	31_d13_KO_Ybx3_rep2	32_d13_KO_Ell3_rep2	33_d13_KO_Foxr1_rep2	34_d13_KO_Mef2b_rep2	35_d13_KO_Ccnk_rep2	36_d13_KO_Sfr1_rep2	37_d11_KO_Sub1_rep2	38_d13_KO_Tcf25_rep2	39_d13_KO_Kdm1b_rep2	40_d13_KO_Nobox_rep2	41_d11_KO_Stat3_rep2	42_d13_KO_Noto_rep2	45_d13_KO_Dynll1_rep2
L2	642.694695716381	457.797859455526	611.833946459691	426.094701760718	587.213963365953	480.663523270685	1100.59698098953	901.557317751825	864.398641449449	1487.04565922951	705.453151819142	913.784075701761	1289.16025632737	733.343085361968	890.413386371098	1140.11652932498	1265.21024003778	947.767940400661	988.506956824918	875.784192905998	2125.5561610435	1118.94666371414	1648.9107154717	1119.60261448274	937.798446634155	490.455256291381	814.60692789057	977.686302291871	831.84277181169	849.332182442197	1239.64840957439	1954.93397188691	900.184180527217	855.437219540138	1556.36864450807	1303.03978813857	903.342683757696	1130.56721308708
hAT-Charlie	698.533910215332	663.805205712804	630.355035384242	579.570992318646	715.468099818533	693.258899367281	1435.43383089991	1253.10513491673	1076.9825779809	2085.9089778531	930.540225058087	1282.73016817311	1543.17410125757	1309.13876633576	661.811479467954	1530.61007134794	1735.77305637944	1247.30922948519	1262.00143599676	1731.83673592325	2342.25905958171	1799.29245529226	2219.83674628142	2238.52387735295	1115.20116171996	1166.50744517649	1097.84472386857	1499.00143472059	1427.48606134358	1570.04040494504	1431.14318707043	2962.89252442063	1338.25309611951	1106.55362692167	1860.56060438269	1843.9571606259	1313.20638240685	1815.6018178657
ID	473.057868838463	343.578934982043	486.191654574038	177.771836348448	438.310943326794	390.772944883297	864.727584035253	698.891289049501	911.983510096505	942.699745032328	604.891666612629	754.337184240951	1370.77509227177	697.028628425899	676.0218702224	857.740853933999	1233.02917812993	884.710409675411	1053.353128197	955.023566469179	1480.83940406953	1148.69588517683	1170.7347581634	1157.99111747976	644.041464640604	726.644504386876	699.78049416583	839.991316193153	600.272468582745	592.3415967115	1503.87470362603	1626.50381797638	879.08269254809	678.962520471827	1033.84363928854	991.311649436149	844.068964825887	951.783327562216
Satellite	892.211448207237	1252.64873381865	822.365988775331	961.068985838608	854.8229249591	1212.99277001699	2514.35980176465	2660.05919322535	2017.37838112144	2930.75542809541	1694.28385831262	1883.95395958894	2009.48569105218	1928.37564106178	1952.80421970797	1784.60175025114	2147.5125903271	1683.56820051412	1812.81574750028	2673.47061483204	3354.17303042833	2213.58682550783	3931.72435550442	2402.18683692488	1679.89549250926	1875.45642794557	1663.27411425202	2090.05447932677	1887.79256527777	1588.5763899146	4189.76688980619	1502.63244629654	1800.02544653441	1864.9868166268	1447.08743356431	1955.40948721001	1755.23325929884	2868.75578040716
MIR	648.957474372278	711.457955847205	708.285359074007	565.489433055968	758.913047677923	670.46026561952	1203.9280755642	1005.2024373116	2232.61332430925	1568.32085416333	1208.1412920953	1268.33150835096	1783.88015257974	1026.44858193843	1370.83220505612	1452.92008908133	1587.50708293909	1320.87757735923	1250.8076334314	2595.43278958808	1200.22077983828	1513.46757021183	2164.34873846306	1305.89604810875	989.18088277734	1162.74002655244	1145.01256751108	1177.32388666102	1168.27453529694	999.456594741029	2702.71613748757	1398.15511137237	1195.85260501766	1025.96709582857	1693.54858844904	887.149293650175	1264.97034363783	1743.660429562
Low_complexity	3683.60783443635	3615.18432531032	2992.6663094787	3800.43035705692	3373.29937791425	3540.77020304873	6588.28349524404	6331.39669381221	11755.8034825772	4643.64576350682	4546.06291252107	6774.75686217233	5323.42413608151	5546.06495001453	6285.72324277237	6390.5745826708	6323.62673132698	6551.19551022528	5396.61163061862	12945.7635517456	6060.46723250782	7515.60284618527	11120.670070054	8014.84152966319	2981.40892376464	5347.92737649276	6546.4907438341	5957.94809793986	5847.75831813231	6696.59601632194	10550.173800631	6058.59981798582	6095.8811787432	7659.3679334775	5917.89331446837	6361.79943536508	5610.00503655383	8912.25121433591
TcMar-Tigger	198.854574199866	135.676281882861	194.652975961513	150.419323827838	216.27781854693	150.878576010248	425.384086787286	276.155135279473	684.842205109252	221.800140037105	255.57494710035	303.822476862514	453.764492929969	155.769392056355	339.167898382612	410.694361708381	429.296275936693	344.833587938989	442.189929770147	501.255391471781	389.070786428083	503.521816092955	763.061014007631	435.276674410313	254.416832879398	303.542772201349	329.431416670759	410.904938271689	413.732552714541	310.048090985762	614.140438477698	447.860840094475	286.786762664517	359.066476962991	417.284841259632	471.591491765601	390.35333436365	481.933387567365
Other	160.065042844512	172.616069588196	57.8253063861565	148.242714469163	128.749768127177	134.138838793347	269.14644504051	375.289169500411	458.140218227283	249.261194414165	246.858647342042	436.029268067926	247.74497385187	255.494657885685	301.06774316014	348.393317093098	277.304884072113	420.468623878071	190.531677388315	554.035097403106	381.921041711322	242.19041362254	633.156423980107	258.978728116834	233.380057567627	254.188480411097	290.901565232328	264.823183852285	245.001501016148	508.038645233174	530.101054547511	275.30015920091	311.673317006154	304.891589010368	273.617920645851	282.38604334541	282.023432627842	223.36993933513
hAT-Blackjack	17.1998246636553	12.3607414592159	8.5975343524762	10.6035454712857	10.1130135585805	14.6146252182784	34.4840915814802	27.4839848903949	48.337570170611	22.5160287161988	17.3280994771535	32.4065968902256	27.3573109480324	21.9459141853067	28.2230411096515	27.643849407521	22.3731634250439	29.0034490060007	36.9551716944874	28.1560644818777	39.7595526646967	29.697230243246	50.2438267544148	20.9821255298299	24.7436076161733	28.8403343397468	24.6168499204652	32.7860014394671	24.5256398712039	45.534886383213	25.8754931324587	23.1282890444653	24.0082027820446	17.1843999733003	36.14204915812	26.959667529394	33.1466004846543	24.2187143116839
ERVK?	17.8461088531018	14.6229977975362	17.8788231236018	18.8052990495325	19.7115258450608	13.186831422708	27.8513258157796	61.5919528241457	51.6818127117522	32.7092654061657	28.2212247639594	36.4011397914638	24.2832465905421	32.0425175739429	27.7421529777619	36.0860640879547	34.9217092797141	36.6377435841337	55.4555837837172	22.7944556050822	34.0966228418991	40.0239575942312	48.594453368024	29.7548766775902	27.094331203367	35.7863297540204	28.2863878756353	34.5563731829489	30.4316922627547	58.8718747374198	29.425622667562	32.3695511424168	31.6026537062745	30.7626495444677	15.8694572511373	35.0249701883308	29.7516356077666	42.4772989512267
